Ten minute period number	Active occupant count in time period	Probability of transition to zero active occupants in next time period	Probability of transition to one active occupant in next time period	Probability of transition to two active occupants in next time period	Probability of transition to three active occupants in next time period
1	0	0,994	0,006	0,000	0,000
1	1	0,207	0,793	0,000	0,000
1	2	0,000	0,000	0,000	0,000
1	3	0,000	0,000	0,000	0,000
1	4	0,000	0,000	0,000	0,000
