0	0,829	0,768	0,676	0,676	0,547	0,667
1	0,171	0,161	0,210	0,207	0,250	0,139
2	0,000	0,071	0,094	0,092	0,109	0,111
3	0,000	0,000	0,019	0,016	0,078	0,028
4	0,000	0,000	0,000	0,009	0,000	0,056
5	0,000	0,000	0,000	0,000	0,016	0,000
6	0,000	0,000	0,000	0,000	0,000	0,000
